participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,gdf,1491153595.18412
z9s2pz6r,2,1,w01c1vhl,2-confidence_audio-1,A,sure?,1491153599.94203
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,"yeah, ill take i",1491153603.20861
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,fds,1491154213.45476
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,fds,1491154213.91029
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,sfs,1491154214.42218
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,f,1491154214.59895
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,f,1491154214.76191
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,s,1491154214.95435
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,f,1491154215.31976
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,h,1491154215.49965
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,f,1491154215.67737
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,j,1491154215.86143
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,j,1491154216.05324
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,j,1491154216.22278
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,h,1491154216.39441
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,j,1491154216.58008
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,j,1491154216.75543
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,gs,1491154217.10937
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,dfh,1491154217.37295
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,fgdfg,1491154217.79199
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,gf,1491154218.59771
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,f,1491154218.81289
z9s2pz6r,2,2,0msm7yvl,2-confidence_audio-1,B,h,1491154219.37695
2slpgwh8,10,1,bh1sucno,10-confidence_audio-1,A,chat!,1491211145.187
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,"I didn't really hear an ""e"" noise",1491214738.51458
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,are you sure?,1491214743.97284
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,I didn't hear it very clear,1491214754.62138
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,Just didn't sound like an o,1491214762.67562
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,hmm,1491214767.48387
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,maybe u?,1491214774.01647
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,yes ,1491214778.74509
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,okay,1491214782.82422
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,could be a u ,1491214785.63905
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,we have reached a joint decision,1491214787.97815
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,we agree,1491214790.11162
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,haha again,1491214824.04756
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,again,1491214824.84116
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,not very sure,1491214828.62265
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,I heard the same noise as before,1491214835.79544
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,but this is 3 times I've heard o in a row,1491214843.60197
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,i thought it sounded more like a goat,1491214857.60544
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,im not sure,1491214858.41698
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,but very short sound,1491214862.08038
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,me neither maain!,1491214867.31475
6luh1k5a,11,2,48xy4b0v,11-confidence_audio-1,B,yes I agree,1491214867.39916
6luh1k5a,11,1,kew9hnu4,11-confidence_audio-1,A,you've had it right though,1491214872.7789
6luh1k5a,11,3,bc6ut8vp,11-confidence_audio-2,A,But im right!,1491214875.75818
6luh1k5a,11,4,1d8z50vi,11-confidence_audio-2,B,so which one?,1491214876.15196
